tobe_Correct,Correct
MUMBAI,Alluri Sitharama Raju
KADAPA,Anakapalli
DHARWAD,Ananthapuramu
DELHI,Annamayya
BANGALORE,Bapatla
MYSORE,Chittoor
BAGHPAT,Dr. B.R. Ambedkar Konaseema
RISHIKESH,East Godavari
NULL,Eluru
GUWAHATI,Guntur
KANPUR,Kakinada
BHATINDA,Krishna
GURGAON,Kurnool
BARDHAMAN,Nandyal
Prayagraj,NTR
BENGALURU,Palnadu
TRIVANDRUM,Parvathipuram Manyam
JYOTIBA PHULE NAGAR,Prakasam
UDHAMSINGH NAGAR,Srikakulam
BAGALKOT,Sri Potti Sriramulu Nellore
,Sri Sathya Sai
,Tirupati
,Visakhapatnam
,Vizianagaram
,West Godavari
,YSR
,Anjaw
,Changlang
,East Kameng
,East Siang
,Itanagar capital complex
,Kamle
,Kra Daadi
,Kurung Kumey
,Lepa Rada
,Lohit
,Longding
,Lower Dibang Valley
,Lower Siang
,Lower Subansiri
,Namsai
,Pakke-Kessang
,Papum Pare
,Shi Yomi
,Siang
,Tawang
,Tirap
,Upper Dibang Valley
,Upper Siang
,Upper Subansiri
,West Kameng
,West Siang
,Bajali
,Baksa
,Barpeta
,Biswanath
,Bongaigaon
,Cachar
,Charaideo
,Chirang
,Darrang
,Dhemaji
,Dhubri
,Dibrugarh
,Dima Hasao
,Goalpara
,Golaghat
,Hailakandi
,Hojai
,Jorhat
,Kamrup
,Kamrup Metropolitan
,Karbi Anglong
,Karimganj
,Kokrajhar
,Lakhimpur
,Majuli
,Morigaon
,Nagaon
,Nalbari
,Sivasagar
,South Salmara Mankachar
,Sonitpur
,Tamulpur
,Tinsukia
,Udalguri
,West Karbi Anglong
,Araria
,Arwal
,Aurangabad
,Banka
,Begusarai
,Bhagalpur
,Bhojpur
,Buxar
,Darbhanga
,East Champaran
,Gaya
,Gopalganj
,Jamui
,Jehanabad
,Kaimur
,Katihar
,Khagaria
,Kishanganj
,Lakhisarai
,Madhepura
,Madhubani
,Munger
,Muzaffarpur
,Nalanda
,Nawada
,Patna
,Purnia
,Rohtas
,Saharsa
,Samastipur
,Saran
,Sheikhpura
,Sheohar
,Sitamarhi
,Siwan
,Supaul
,Vaishali
,0
,Balod
,Baloda Bazar
,Balrampur-Ramanujganj
,Bastar
,Bemetara
,Bijapur
,Bilaspur
,Dantewada
,Dhamtari
,Durg
,Gariaband
,Gaurela-Pendra-Marwahi
,Janjgir-Champa
,Jashpur
,Kabirdham
,Kanker
,Khairagarh-Chhuikhadan-Gandai
,Kondagaon
,Korba
,Korea
,Mahasamund
,Manendragarh-Chirmiri-Bharatpur
,Mohla-Manpur-Ambagarh Chowki
,Mungeli
,Narayanpur
,Raigarh
,Raipur
,Rajnandgaon
,Sarangarh-Bilaigarh
,Shakti
,Sukma
,Surajpur
,Surguja
,North Goa
,South Goa
,Ahmedabad
,Amreli
,Anand
,Aravalli
,Banaskantha
,Bharuch
,Bhavnagar
,Botad
,Chhota Udaipur
,Dahod
,Dang
,Devbhumi Dwarka
,Gandhinagar
,Gir Somnath
,Jamnagar
,Junagadh
,Kheda
,Kutch
,Mahisagar
,Mehsana
,Morbi
,Narmada
,Navsari
,Panchmahal
,Patan
,Porbandar
,Rajkot
,Sabarkantha
,Surat
,Surendranagar
,Tapi
,Vadodara
,Valsad
,Ambala
,Bhiwani
,Charkhi Dadri
,Faridabad
,Fatehabad
,Gurugram
,Hisar
,Jhajjar
,Jind
,Kaithal
,Karnal
,Kurukshetra
,Mahendragarh
,Nuh
,Palwal
,Panchkula
,Panipat
,Rewari
,Rohtak
,Sirsa
,Sonipat
,Yamunanagar
,Bilaspur
,Chamba
,Hamirpur
,Kangra
,Kinnaur
,Kullu
,Lahaul and Spiti
,Mandi
,Shimla
,Sirmaur
,Solan
,Una
,Bokaro
,Chatra
,Deoghar
,Dhanbad
,Dumka
,East Singhbhum
,Garhwa
,Giridih
,Godda
,Gumla
,Hazaribag
,Jamtara
,Khunti
,Koderma
,Latehar
,Lohardaga
,Pakur
,Palamu
,Ramgarh
,Ranchi
,Sahibganj
,Seraikela-Kharsawan
,Simdega
,West Singhbhum
,Bagalakote
,Ballari
,Belagavi
,Bengaluru Rural
,Bengaluru Urban
,Bidar
,Chamarajanagara
,Chikkaballapura
,Chikkamagaluru
,Chitradurga
,Dakshina Kannada
,Davanagere
,Dharwada
,Gadaga
,Kalaburagi
,Hassan
,Haveri
,Kodagu
,Kolar
,Koppala
,Mandya
,Mysuru
,Raichuru
,Ramanagara
,Shivamogga
,Tumakuru
,Udupi
,Uttara Kannada
,Vijayanagara
,Vijayapura
,Yadgiri
,Alappuzha
,Ernakulam
,Idukki
,Kannur
,Kasaragod
,Kollam
,Kottayam
,Kozhikode
,Malappuram
,Palakkad
,Pathanamthitta
,Thrissur
,Thiruvananthapuram
,Wayanad
,Agar Malwa
,Alirajpur
,Anuppur
,Ashoknagar
,Balaghat
,Barwani
,Betul
,Bhind
,Bhopal
,Burhanpur
,Chhatarpur
,Chhindwara
,Damoh
,Datia
,Dewas
,Dhar
,Dindori
,Guna
,Gwalior
,Harda
,Hoshangabad
,Indore
,Jabalpur
,Jhabua
,Katni
,Khandwa (East Nimar)
,Khargone (West Nimar)
,Mandla
,Mandsaur
,Morena
,Narsinghpur
,Neemuch
,Niwari
,Panna
,Raisen
,Rajgarh
,Ratlam
,Rewa
,Sagar
,Satna
,Sehore
,Seoni
,Shahdol
,Shajapur
,Sheopur
,Shivpuri
,Sidhi
,Singrauli
,Tikamgarh
,Ujjain
,Umaria
,Vidisha
,Ahmednagar
,Akola
,Amravati
,Beed
,Bhandara
,Buldhana
,Chandrapur
,Osmanabad
,Dhule
,Gadchiroli
,Gondia
,Hingoli
,Jalgaon
,Jalna
,Kolhapur
,Latur
,Mumbai City
,Mumbai Suburban
,Nanded
,Nandurbar
,Nagpur
,Nashik
,Palghar
,Parbhani
,Pune
,Raigad
,Ratnagiri
,Aurangabad
,Sangli
,Satara
,Sindhudurg
,Solapur
,Thane
,Wardha
,Washim
,Yavatmal
,Bishnupur
,Chandel
,Churachandpur
,Imphal East
,Imphal West
,Jiribam
,Kakching
,Kamjong
,Kangpokpi
,Noney
,Pherzawl
,Senapati
,Tamenglong
,Tengnoupal
,Thoubal
,Ukhrul
,East Garo Hills
,East Khasi Hills
,East Jaintia Hills
,Eastern West Khasi Hills
,North Garo Hills
,Ri Bhoi
,South Garo Hills
,South West Garo Hills
,South West Khasi Hills
,West Garo Hills
,West Jaintia Hills
,West Khasi Hills
,Aizawl
,Champhai
,Hnahthial
,Khawzawl
,Kolasib
,Lawngtlai
,Lunglei
,Mamit
,Saiha
,Saitual
,Serchhip
,Chümoukedima
,Dimapur
,Kiphire
,Kohima
,Longleng
,Mokokchung
,Mon
,Niuland
,Noklak
,Peren
,Phek
,Shamator
,Tseminyu
,Tuensang
,Wokha
,Zunheboto
,Angul
,Boudh (Bauda)
,Bhadrak
,Balangir
,Bargarh (Baragarh)
,Balasore
,Cuttack
,Debagarh (Deogarh)
,Dhenkanal
,Ganjam
,Gajapati
,Jharsuguda
,Jajpur
,Jagatsinghpur
,Khordha
,Kendujhar
,Kalahandi
,Kandhamal
,Koraput
,Kendrapara
,Malkangiri
,Mayurbhanj
,Nabarangpur
,Nuapada
,Nayagarh
,Puri
,Rayagada
,Sambalpur
,Subarnapur (Sonepur)
,Sundargarh
,Amritsar
,Barnala
,Bathinda
,Firozpur
,Faridkot
,Fatehgarh Sahib
,Fazilka
,Gurdaspur
,Hoshiarpur
,Jalandhar
,Kapurthala
,Ludhiana
,Malerkotla
,Mansa
,Moga
,Sri Muktsar Sahib
,Pathankot
,Patiala
,Rupnagar
,Sahibzada Ajit Singh Nagar
,Sangrur
,Shahid Bhagat Singh Nagar
,Tarn Taran
,Ajmer
,Alwar
,Bikaner
,Barmer
,Banswara
,Bharatpur
,Baran
,Bundi
,Bhilwara
,Churu
,Chittorgarh
,Dausa
,Dholpur
,Dungarpur
,Sri Ganganagar
,Hanumangarh
,Jhunjhunu
,Jalore
,Jodhpur
,Jaipur
,Jaisalmer
,Jhalawar
,Karauli
,Kota
,Nagaur
,Pali
,Pratapgarh
,Rajsamand
,Sikar
,Sawai Madhopur
,Sirohi
,Tonk
,Udaipur
,East Sikkim
,North Sikkim
,Pakyong
,Soreng
,South Sikkim
,West Sikkim
,Ariyalur
,Chengalpattu
,Chennai
,Coimbatore
,Cuddalore
,Dharmapuri
,Dindigul
,Erode
,Kallakurichi
,Kanchipuram
,Kanyakumari
