tobe_Correct,Correct
India,Alluri Sitharama Raju
India,Anakapalli
India,Ananthapuramu
JAMMU & KASHMIR,Annamayya
JAMMU & KASHMIR,Bapatla
JAMMU & KASHMIR,Chittoor
Kupwara,Dr. B.R. Ambedkar Konaseema
Kupwara,East Godavari
Kupwara,Eluru
Badgam,Guntur
Badgam,Kakinada
Badgam,Krishna
Leh(Ladakh),Kurnool
Leh(Ladakh),Nandyal
Leh(Ladakh),NTR
Kargil,Palnadu
Kargil,Parvathipuram Manyam
Kargil,Prakasam
Punch,Srikakulam
Punch,Sri Potti Sriramulu Nellore
Punch,Sri Sathya Sai
Rajouri,Tirupati
Rajouri,Visakhapatnam
Rajouri,Vizianagaram
Kathua,West Godavari
Kathua,YSR
Kathua,Anjaw
Baramula,Changlang
Baramula,East Kameng
Baramula,East Siang
Bandipore,Itanagar capital complex
Bandipore,Kamle
Bandipore,Kra Daadi
Srinagar,Kurung Kumey
Srinagar,Lepa Rada
Srinagar,Lohit
Ganderbal,Longding
Ganderbal,Lower Dibang Valley
Ganderbal,Lower Siang
Pulwama,Lower Subansiri
Pulwama,Namsai
Pulwama,Pakke-Kessang
Shupiyan,Papum Pare
Shupiyan,Shi Yomi
Shupiyan,Siang
Anantnag,Tawang
Anantnag,Tirap
Anantnag,Upper Dibang Valley
Kulgam,Upper Siang
Kulgam,Upper Subansiri
Kulgam,West Kameng
Doda,West Siang
Doda,Bajali
Doda,Baksa
Ramban,Barpeta
Ramban,Biswanath
Ramban,Bongaigaon
Kishtwar,Cachar
Kishtwar,Charaideo
Kishtwar,Chirang
Udhampur,Darrang
Udhampur,Dhemaji
Udhampur,Dhubri
Reasi,Dibrugarh
Reasi,Dima Hasao
Reasi,Goalpara
Jammu,Golaghat
Jammu,Hailakandi
Jammu,Hojai
Samba,Jorhat
Samba,Kamrup
Samba,Kamrup Metropolitan
HIMACHAL PRADESH,Karbi Anglong
HIMACHAL PRADESH,Karimganj
HIMACHAL PRADESH,Kokrajhar
Chamba,Lakhimpur
Chamba,Majuli
Chamba,Morigaon
Kangra,Nagaon
Kangra,Nalbari
Kangra,Sivasagar
Lahul & Spiti,South Salmara Mankachar
Lahul & Spiti,Sonitpur
Lahul & Spiti,Tamulpur
Kullu,Tinsukia
Kullu,Udalguri
Kullu,West Karbi Anglong
Mandi,Araria
Mandi,Arwal
Mandi,Aurangabad
Hamirpur,Banka
Hamirpur,Begusarai
Hamirpur,Bhagalpur
Una,Bhojpur
Una,Buxar
Una,Darbhanga
Bilaspur,East Champaran
Bilaspur,Gaya
Bilaspur,Gopalganj
Solan,Jamui
Solan,Jehanabad
Solan,Kaimur
Sirmaur,Katihar
Sirmaur,Khagaria
Sirmaur,Kishanganj
Shimla,Lakhisarai
Shimla,Madhepura
Shimla,Madhubani
Kinnaur,Munger
Kinnaur,Muzaffarpur
Kinnaur,Nalanda
PUNJAB,Nawada
PUNJAB,Patna
PUNJAB,Purnia
Gurdaspur,Rohtas
Gurdaspur,Saharsa
Gurdaspur,Samastipur
Kapurthala,Saran
Kapurthala,Sheikhpura
Kapurthala,Sheohar
Jalandhar,Sitamarhi
Jalandhar,Siwan
Jalandhar,Supaul
Hoshiarpur,Vaishali
Hoshiarpur,0
Hoshiarpur,Balod
NAWANSHAHR,Baloda Bazar
NAWANSHAHR,Balrampur-Ramanujganj
NAWANSHAHR,Bastar
Fatehgarh Sahib,Bemetara
Fatehgarh Sahib,Bijapur
Fatehgarh Sahib,Bilaspur
Ludhiana,Dantewada
Ludhiana,Dhamtari
Ludhiana,Durg
Moga,Gariaband
Moga,Gaurela-Pendra-Marwahi
Moga,Janjgir-Champa
Firozpur,Jashpur
Firozpur,Kabirdham
Firozpur,Kanker
Muktsar,Khairagarh-Chhuikhadan-Gandai
Muktsar,Kondagaon
Muktsar,Korba
Faridkot,Korea
Faridkot,Mahasamund
Faridkot,Manendragarh-Chirmiri-Bharatpur
Bathinda,Mohla-Manpur-Ambagarh Chowki
Bathinda,Mungeli
Bathinda,Narayanpur
Mansa,Raigarh
Mansa,Raipur
Mansa,Rajnandgaon
Patiala,Sarangarh-Bilaigarh
Patiala,Shakti
Patiala,Sukma
Amritsar,Surajpur
Amritsar,Surguja
Amritsar,North Goa
Tarn Taran,South Goa
Tarn Taran,Ahmedabad
Tarn Taran,Amreli
Rupnagar,Anand
Rupnagar,Aravalli
Rupnagar,Banaskantha
Mohali,Bharuch
Mohali,Bhavnagar
Mohali,Botad
Sangrur,Chhota Udaipur
Sangrur,Dahod
Sangrur,Dang
Barnala,Devbhumi Dwarka
Barnala,Gandhinagar
Barnala,Gir Somnath
CHANDIGARH,Jamnagar
CHANDIGARH,Junagadh
CHANDIGARH ,Kheda
Chandigarh,Kutch
Chandigarh,Mahisagar
Chandigarh,Mehsana
UTTARAKHAND,Morbi
UTTARAKHAND,Narmada
UTTARAKHAND,Navsari
Uttarkashi,Panchmahal
Uttarkashi,Patan
Uttarkashi,Porbandar
Chamoli,Rajkot
Chamoli,Sabarkantha
Chamoli,Surat
Rudraprayag,Surendranagar
Rudraprayag,Tapi
Rudraprayag,Vadodara
Tehri Garhwal,Valsad
Tehri Garhwal,Ambala
Tehri Garhwal,Bhiwani
Dehradun,Charkhi Dadri
Dehradun,Faridabad
Dehradun,Fatehabad
Garhwal,Gurugram
Garhwal,Hisar
Garhwal,Jhajjar
Pithoragarh,Jind
Pithoragarh,Kaithal
Pithoragarh,Karnal
Bageshwar,Kurukshetra
Bageshwar,Mahendragarh
Bageshwar,Nuh
Almora,Palwal
Almora,Panchkula
Almora,Panipat
Champawat,Rewari
Champawat,Rohtak
Champawat,Sirsa
Nainital,Sonipat
Nainital,Yamunanagar
Nainital,Bilaspur
Udham Singh Nagar,Chamba
Udham Singh Nagar,Hamirpur
Udham Singh Nagar,Kangra
Hardwar,Kinnaur
Hardwar,Kullu
Hardwar,Lahaul and Spiti
HARYANA,Mandi
HARYANA,Shimla
HARYANA,Sirmaur
