,tobe_Correct,Correct_District,new
0,Kupwara,Alluri Sitharama Raju,Kupwara
1,Kupwara,Anakapalli,Kupwara
2,Kupwara,Ananthapuramu,Kupwara
3,Badgam,Annamayya,Kargil
4,Badgam,Bapatla,Kargil
5,Badgam,Chittoor,Kargil
6,Leh(Ladakh),Dr. B.R. Ambedkar Konaseema,Rajouri
7,Leh(Ladakh),East Godavari,Rajouri
8,Leh(Ladakh),Eluru,Rajouri
9,Kargil,Guntur,Kathua
10,Kargil,Kakinada,Kathua
11,Kargil,Krishna,Kathua
12,Punch,Kurnool,Bandipore
13,Punch,Nandyal,Bandipore
14,Punch,NTR,Bandipore
15,Rajouri,Palnadu,Srinagar
16,Rajouri,Parvathipuram Manyam,Srinagar
17,Rajouri,Prakasam,Srinagar
18,Kathua,Srikakulam,Ganderbal
19,Kathua,Sri Potti Sriramulu Nellore,Ganderbal
20,Kathua,Sri Sathya Sai,Ganderbal
21,Baramula,Tirupati,Pulwama
22,Baramula,Visakhapatnam,Pulwama
23,Baramula,Vizianagaram,Pulwama
24,Bandipore,West Godavari,Anantnag
25,Bandipore,YSR,Anantnag
26,Bandipore,Anjaw,Anantnag
27,Srinagar,Changlang,Kulgam
28,Srinagar,East Kameng,Kulgam
29,Srinagar,East Siang,Kulgam
30,Ganderbal,Itanagar capital complex,Doda
31,Ganderbal,Kamle,Doda
32,Ganderbal,Kra Daadi,Doda
33,Pulwama,Kurung Kumey,Ramban
34,Pulwama,Lepa Rada,Ramban
35,Pulwama,Lohit,Ramban
36,Shupiyan,Longding,Kishtwar
37,Shupiyan,Lower Dibang Valley,Kishtwar
38,Shupiyan,Lower Siang,Kishtwar
39,Anantnag,Lower Subansiri,Udhampur
40,Anantnag,Namsai,Udhampur
41,Anantnag,Pakke-Kessang,Udhampur
42,Kulgam,Papum Pare,Reasi
43,Kulgam,Shi Yomi,Reasi
44,Kulgam,Siang,Reasi
45,Doda,Tawang,Jammu
46,Doda,Tirap,Jammu
47,Doda,Upper Dibang Valley,Jammu
48,Ramban,Upper Siang,Samba
49,Ramban,Upper Subansiri,Samba
50,Ramban,West Kameng,Samba
51,Kishtwar,West Siang,Chamba
52,Kishtwar,Bajali,Chamba
53,Kishtwar,Baksa,Chamba
54,Udhampur,Barpeta,Kangra
55,Udhampur,Biswanath,Kangra
56,Udhampur,Bongaigaon,Kangra
57,Reasi,Cachar,Kullu
58,Reasi,Charaideo,Kullu
59,Reasi,Chirang,Kullu
60,Jammu,Darrang,Mandi
61,Jammu,Dhemaji,Mandi
62,Jammu,Dhubri,Mandi
63,Samba,Dibrugarh,Hamirpur
64,Samba,Dima Hasao,Hamirpur
65,Samba,Goalpara,Hamirpur
66,Chamba,Golaghat,Una
67,Chamba,Hailakandi,Una
68,Chamba,Hojai,Una
69,Kangra,Jorhat,Bilaspur
70,Kangra,Kamrup,Bilaspur
71,Kangra,Kamrup Metropolitan,Bilaspur
72,Lahul & Spiti,Karbi Anglong,Solan
73,Lahul & Spiti,Karimganj,Solan
74,Lahul & Spiti,Kokrajhar,Solan
75,Kullu,Lakhimpur,Sirmaur
76,Kullu,Majuli,Sirmaur
77,Kullu,Morigaon,Sirmaur
78,Mandi,Nagaon,Shimla
79,Mandi,Nalbari,Shimla
80,Mandi,Sivasagar,Shimla
81,Hamirpur,South Salmara Mankachar,Kinnaur
82,Hamirpur,Sonitpur,Kinnaur
83,Hamirpur,Tamulpur,Kinnaur
84,Una,Tinsukia,Gurdaspur
85,Una,Udalguri,Gurdaspur
86,Una,West Karbi Anglong,Gurdaspur
